Iterations,Carleton92,Carleton91,EarlHaig83,EdHEC92,KingFahd93,LSE91,Pur93,Rye92,St.Andrews83,Trent92,TorontoAS92,TorontoE92,YorkMills83,Car-f-92 , Car-s-91 ,Ear-f-83 ,Hec-s-92 ,Kfu-s-93 ,Lse-f-91 ,Pur-s-93,Rye-s-93,Sta-f-83,Tre-s-92,Uta-s-92,Ute-s-92,yor-f-83
10,9.58485,12.54714,66.2504,30.92195,46.81703,30.34538,16.41706,33.13644,194.15047,15.27893,7.72454,57.89513,63.50573,5.93,7.55,49.03,14.81,20.30,17.03,8.62,14.50,183.10,11.94,5.66,32.14,47.47
20,9.58181,12.53769,66.2504,30.92195,46.79254,29.88976,16.381,32.55079,192.91316,15.15697,7.72083,56.98204,63.50573,5.96,7.70,49.94,15.65,21.97,17.44,8.85,15.21,183.15,13.21,5.80,36.33,49.29
30,9.53821,12.51755,66.2504,30.26343,46.77833,29.28045,16.36655,31.47782,192.91316,14.99832,7.70587,54.42422,63.50573,6.05,7.74,47.11,15.81,21.84,17.64,8.78,14.50,183.15,12.38,5.66,39.41,49.24
40,9.38332,12.4873,66.09396,30.24997,46.64485,28.06988,16.28071,31.32577,192.86733,14.99076,7.69129,53.91658,62.26556,6.34,7.96,48.33,15.36,21.21,17.99,8.78,14.37,183.15,12.39,5.66,34.53,49.84
50,9.218,12.47477,64.55173,30.24997,46.49024,27.87362,16.27115,31.10971,192.86733,14.97379,7.6904,51.0424,62.26556,6.00,7.79,47.55,17.69,21.37,17.88,8.74,14.64,183.16,12.38,5.72,36.23,47.33
60,9.218,12.47477,64.5464,30.22518,46.44537,27.74229,16.2526,30.82868,192.86733,14.87201,7.66176,50.14313,62.26556,6.19,7.45,48.77,15.22,21.25,17.75,8.67,14.44,183.15,12.28,5.80,39.84,49.28
70,9.218,12.47359,64.46462,29.99244,46.38499,27.65169,16.23192,30.81728,192.86733,14.87201,7.65955,49.94895,62.26556,5.99,7.80,47.88,15.92,21.52,17.56,8.70,14.97,183.15,12.32,5.73,36.39,49.91
80,9.218,12.44494,64.46462,26.63786,46.31002,27.63554,16.22803,30.78227,192.86733,14.83899,7.65288,49.32167,61.88086,5.87,7.73,49.73,14.00,21.73,17.37,8.79,14.90,183.15,12.49,5.73,34.01,48.56
90,9.20138,12.41368,63.77662,26.63786,46.30404,27.56585,16.21168,30.75379,192.86733,14.83074,7.64145,49.24131,61.26875,6.24,7.59,48.79,18.94,22.07,16.65,8.70,14.25,183.15,12.25,5.79,31.51,50.97
100,9.19367,12.38538,63.77662,24.91026,46.12269,27.51999,16.20262,30.5278,192.86733,14.74752,7.63755,48.90204,61.22199,6.12,7.58,49.12,15.62,21.23,17.66,8.71,16.23,183.15,12.25,5.73,34.66,48.47
110,9.1877,12.38266,63.77662,24.89007,46.0539,27.3905,16.17379,30.00268,192.86733,14.71107,7.63755,48.90095,60.84579,,,,,,,,,,,,,
120,9.1877,12.38266,63.7144,24.76644,45.88788,27.38316,16.16856,28.45169,192.85751,14.67026,7.62052,48.81367,60.84579,,,,,,,,,,,,,
130,9.17462,12.38266,63.11796,24.43169,45.72075,27.14985,16.13499,27.96288,192.85751,14.6118,7.61479,48.08058,60.65238,,,,,,,,,,,,,
