Iterations,Carleton92, Carleton91,EarlHaig83,EdHEC92,KingFahd93,LSE91,Pur93,Rye92,St.Andrews83,Trent92,TorontoAS92,TorontoE92,YorkMills83,Car-f-92 , Car-s-91 ,Ear-f-83 ,Hec-s-92 ,Kfu-s-93 ,Lse-f-91 ,Pur-s-93,Rye-s-93,Sta-f-83,Tre-s-92,Uta-s-92,Ute-s-92,yor-f-83
10,9.58485,12.54714,66.2504,30.92195,46.79889,30.28705,16.4135,33.0922,194.15047,15.27916,7.7189,56.99767,63.50573,6.05,7.81,45.46,13.66,19.04,16.51,9.21,14.02,182.48,12.21,5.74,3.08,46.93
20,9.58485,12.53881,66.2504,30.92195,46.51361,30.13078,16.39915,33.0922,194.15047,15.27916,7.7189,56.99767,63.50573,6.19,8.07,47.80,14.00,21.43,17.29,9.48,14.19,182.47,12.24,5.84,39.17,47.46
30,9.58485,12.53881,66.2504,30.92195,46.51361,30.02293,16.39915,32.93493,194.15047,15.27916,7.68015,56.99767,63.50573,6.02,8.17,47.13,13.31,20.80,16.94,9.26,14.38,182.66,12.31,5.81,32.47,45.86
40,9.58485,12.53881,66.2504,30.92195,46.3145,30.02439,16.38816,32.93493,194.15047,15.24019,7.67013,56.98713,63.50573,6.10,8.03,46.56,13.55,20.46,17.09,9.24,15.15,182.68,12.50,5.86,32.63,50.13
50,9.58485,12.49687,66.2504,30.92195,46.25805,29.91434,16.384,32.75423,194.15047,15.24019,7.67013,56.68749,63.44622,6.38,8.01,48.76,12.38,21.64,16.76,9.24,14.80,182.21,11.97,5.79,37.16,47.16
60,9.5798,12.49687,66.2504,30.17877,46.24085,29.90224,16.31454,32.75423,194.15047,15.24019,7.67013,57.30604,63.44622,6.21,7.86,45.47,13.41,21.41,17.06,9.52,14.49,182.25,11.94,5.89,32.81,48.81
70,9.57355,12.49687,66.10107,30.17877,46.23636,29.77678,16.31114,32.61263,183.88861,15.24019,7.67023,56.60785,62.87449,6.31,8.18,46.62,13.75,21.91,17.39,9.36,15.34,182.97,12.54,5.90,36.05,48.08
80,9.56389,12.47619,66.10107,30.17877,46.20046,29.77678,16.30451,32.52162,183.88861,15.24019,7.6635,56.3224,62.87449,6.10,7.96,48.32,13.67,21.21,16.46,9.26,15.68,182.46,12.28,5.86,37.52,48.77
90,9.56389,12.47619,66.10107,30.17877,44.72654,29.76724,16.29998,32.49976,183.88861,15.24019,7.6635,55.28458,62.87449,6.08,7.99,48.23,13.01,21.32,17.28,9.22,15.47,182.52,12.25,5.81,34.17,47.94
100,9.55157,12.47619,65.94907,30.17877,44.63456,29.72652,16.28237,32.49976,183.88861,15.1721,7.66153,55.28458,62.87449,6.12,8.08,46.48,12.51,20.44,16.95,9.34,15.58,182.47,11.98,5.84,33.08,49.00
110,9.55157,12.47619,65.94907,30.17877,44.49117,29.6858,16.26232,32.49976,183.88861,15.15651,7.66167,55.28458,62.87449,,,,,,,,,,,,,
120,9.53403,12.46195,65.92151,30.17877,44.39228,29.58676,16.2563,32.32228,183.81987,15.12075,7.64869,55.35622,62.87449,,,,,,,,,,,,,
130,9.53403,12.46195,65.92151,30.17877,44.39228,28.63188,16.2563,32.32228,183.81987,15.12075,7.64869,56.12931,62.56524,,,,,,,,,,,,,
140,9.53403,12.46195,65.92151,30.17877,44.37825,28.63188,16.19926,32.32228,183.81987,15.12075,7.64869,56.11731,62.35483,,,,,,,,,,,,,
150,9.52952,12.46195,65.92151,30.17877,44.31993,28.35932,16.1926,32.32228,183.81987,15.12075,7.64258,56.09622,61.01476,,,,,,,,,,,,,
