Iterations,Carleton92,Carleton91,EarlHaig83,EdHEC92,KingFahd93,LSE91,Rye92,St.Andrews83,Trent92,TorontoAS92,TorontoE92,YorkMills83,Car-f-92 , Car-s-91 ,Ear-f-83 ,Hec-s-92 ,Kfu-s-93 ,Lse-f-91 ,Pur-s-93,Rye-s-93,Sta-f-83,Tre-s-92,Uta-s-92,Ute-s-92,yor-f-83,test,test1
10,9.49092,11.34875,65.5224,20.78097,41.05259,24.58125,29.45361,189.2945,15.44812,7.03687,46.84822,63.80435,6.52,8.17,43.7,12.16,20.93,16.13,10.35,15.4,165.54,11.65,5.07,28.08,41.19,15.50955818,15.26632114
20,9.41231,11.24034,64.87618,21.67647,35.05072,23.77458,26.84427,185.84769,15.2395,7.01345,44.46567,58.8883,6.89,8.4,46.03,12.79,21.33,16.86,10.87,16.09,166.51,11.97,5.3,31.12,43.33,15.18699972,15.15284108
30,9.24346,10.96106,63.30462,22.46074,34.59325,23.20268,25.14358,180.48108,14.80484,6.97085,43.86967,57.37927,6.87,8.43,46.43,13.41,21.6,16.75,11.11,15.52,166.71,12.07,5.27,28.62,41.56,14.93803136,14.72184613
40,8.8954,10.8481,61.77929,18.97438,33.53043,22.54273,24.93719,181.83623,14.75142,6.91024,40.51767,55.76184,6.87,8.2,46.31,12.57,21.37,17.61,10.75,16.92,166.15,12.42,5.45,30.65,43.61,14.92037891,14.57306116
50,8.64593,10.88893,58.94551,18.55249,33.34292,22.35161,24.53294,180.25685,14.67989,6.81708,39.8384,54.82241,6.69,8.32,46.07,13.12,22.14,17.34,10.93,18.04,169.98,11.81,5.33,29.01,42.44,14.67370307,14.44078239
60,8.60977,10.83363,58.74907,17.8504,32.5209,22.68727,23.90123,180.40415,14.65926,6.77006,38.51658,53.79053,7.06,8.29,48.49,13.31,21.51,17.82,10.68,15.99,166.56,12.62,5.64,30.42,45.25,14.710842,14.42565172
70,8.50868,10.76586,58.47618,18.24926,32.28945,22.63701,23.68203,176.01299,14.64275,6.64493,38.12167,54.65238,6.74,8.34,44.49,12.31,21.59,16.86,10.8,16.06,168.98,12.52,5.38,31.19,45.9,14.60286401,14.69273104
80,8.4179,10.44824,58.39351,18.08313,32.12288,22.30539,23.5723,177.92134,14.49557,6.56005,39.82167,57.15823,6.92,8.27,44.41,12.4,21.18,16.82,10.8,15.66,165.83,12.24,5.33,30.15,43.94,14.51826978,14.78970491
90,8.35568,10.44913,57.80684,18.22553,32.15691,22.32923,23.30112,175.68893,14.53386,6.49906,41.27404,53.28362,6.77,8.41,45.1,12.77,21.68,16.67,10.82,15.46,168,12.33,5.49,31.9,43.5,14.49832481,14.87911343
100,8.36583,10.43306,58.43529,15.66868,33.02417,22.13958,23.02288,176.53018,14.50199,6.42147,41.44967,53.13485,6.66,8.3,44.65,13.58,21.9,17.01,10.82,15.97,166.94,12.18,5.48,29.54,41.77,14.54692636,14.94032389
